"Item","Name","Category","Cat_Num","OG_Low","OG_High","Alc_Low","Alc_High","IBU_Low","IBU_High","Lov_Low","Lov_High","Comm_Examples","Descr"
1,"American Brown Ale","Brown Ale","10D",1.04,1.06,4,6,25,60,15,22,"Pete's Wicked Ale, Brooklyn Brown Ale, Hart's Pacific Crest Ale, Smuttynose Old Brown Dog, Il Vicino Tenderfoot Brown, Shipyard Moose Brown.","An adaptation by American homebrewers desiring higher alcohol and hop bittering levels to go along with the malty richness characteristic of all brown ales. A drier and more bitter style of English brown ale. Medium maltiness is present in a medium body. Hops are American varieties and can be assertive in bitterness, flavor and aroma (medium to high). Dark amber to dark brown. Low diacetyl is OK. "
2,"Classic American Pilsner","American Lager","1C",1.044,1.06,4.5,6,25,40,3,6,"None.","A style of American lager that died out during Prohibition. Made from American 6-row barley and 20% flaked maize to dilute the excessive protein levels, giving it a slight sweetness that is offset by good hop levels.  Medium to high malt and hop flavor and aroma. As with other American lagers, no fruitiness or diacetyl should be apparent. Color is light to deep gold.  "
3,"American Dark Lager","American Lager","1B",1.04,1.05,4.1,5.1,14,20,10,20,"MICHELOB DARK, LOWENBRAU DARK","Colored versions of American standard or premium with little or no dark malts used. Color can be artificially derived from the addition of caramel syrup. Deep copper to dark brown. Light to medium body. Low bitterness. Low malt aroma and/or flavor is OK. Low hop aroma and/or flavor is OK. Effervescent. No fruitiness or esters. Very low diacetyl is OK. "
4,"American Pale Ale","American Pale Ale","6A",1.045,1.056,4.5,5.7,20,40,4,11,"Sierra Nevada Pale Ale, Summit Pale Ale, Great Lakes Burning River Pale Ale.","In comparison to its English counterpart, it is slightly less malty, in the range of low to medium. It is fruity and estery with some crystal malt providing a bit of residual sweetness. A distinction of the American version is the high hopping of American varieties. Dry hopping is appropriate. Stock ale is generally in the pale ale style, and is a slightly stronger version meant for longer storage. Pale to deep amber/red/copper. Low diacetyl is OK."
5,"American Wheat","Light Ale","3B",1.035,1.055,3.7,5.5,10,30,2,8,"Otter Creek Summer Wheat, Anchor Wheat, Boulevard Wheat, Pyramid Hefe-Weizen.","A standard ale yeast is used. Typically have light, crisp grain flavors and aromas characteristic of wheat. The clovey aromas and flavors of Bavarian Weizenbiers are absent (and inappropriate). Low to medium fruitiness and esters. Hop bitterness can be from medium to none. Hop aroma and flavor can be high or low. The proportion of wheat is often greater than 50%. Light to medium body, pale straw to gold although light amber versions exist. Low diacetyl is OK. The use of lager yeast is OK. No phenolic character."
6,"Classic Rauchbier","Smoke Beers","23A",1.05,1.064,4.8,6.5,20,30,7,16,"Schlenkerla Rauchbier, Kaiserdom Rauchbier.","Aroma: Smoky aroma may range from faint to assertive.  Some malt should be evident in the low- to moderately-smoked examples.  Note that the smoke character can vary even among beechwood-smoked malts.  Hop aroma should be negligible to very low.  This beer is a lager;  there should be no diacetyl or fruity aromas.  The malt character from the underlying Maerzen/Oktoberfest style should be evident.Appearance: This should be a very clear beer, with a rich creamy head.  The color should be amber, copper to dark brown.Flavor: Sweetish, maltiness from the underlying Maerzen/Oktoberfest style of beer with smoke flavors ranging from low to high, but balanced with the malt and hop bitterness.  The smoke flavor from beechwood kilning tends to be somewhat drier and neutral in character, although it can vary among maltsters, blending well with the sweetness of the malt.  This beer will exhibit low to medium hop bitterness, low to no hop flavor, and the clean characteristics of a lager with no fruitiness or diacetyl.  Mouthfeel: Medium body with a good, medium level of carbonation.  Smooth finish due to lagering.Overall Impression: Maerzen/Oktoberfest-style (see Oktoberfest) beer with a sweet, smoky aroma and flavor.History: In the tradition of the Franconian region of Germany, a Maerzen/Oktoberfest style of beer made with malts kilned over moist beechwood log embers, imparting a smoky flavor and aroma to the beer.  This beer is indigenous to Bamberg, Germany.Comments: Examples of other smoked beer styles are available in Germany, such as the Bocks, Helles and Vienna-like beers such as Spezial Lager. Brewers entering these styles should use Other Smoked Beers as the entry category.Ingredients: Because of the unique flavored rendered to malts by various smoking materials, beechwood-kilned, not malts smoked with peat, hickory or other woods, should make up 5-50% of the malt bill. German or Czech hops."
7,"English-style Barleywine","Barleywine & Imperial Stout","12A",1.08,1.12,8.5,12,50,100,10,22,"Anchor Old Foghorn, Young's Old Nick, Fuller's Golden Pride.","Aroma: Moderate to intense fruitiness; presence of hops (English varieties) may range from mild to assertive. A caramel-like aroma is often present.Appearance: Color may range from rich gold to very dark amber or even brown. Often has ruby highlights. May have low head retention.Flavor: Fruity, with a great intensity of malt. Hop bitterness may range from just enough for balance to a firm presence; balance therefore ranges from malty to bitter. Some oxidative flavors may be present, and alcohol should be evident.Mouthfeel: Full-bodied, with a slick, viscous texture.  Gentle smooth warmth from alcohol should be present.Overall Impression: The richest and strongest of the English Ales.History/Comments: Usually the strongest ale offered by a brewery, and often vintage-dated. Normally aged significantly prior to release. Often associated with the winter or holiday season.  Although a hoppy beer, the English Barleywine places less emphasis on hop character than the American Barleywine and features English hops.Ingredients: Well-modified pale malt should form the backbone of the grist, with judicious amounts of caramel malts. Dark malts should be used with great restraint, if at all, as most of the color arises from a lengthy boil.  English hops such as Northdown, Target, East Kent Goldings and Fuggles."
8,"Bavarian Weizen/Weissbier","Wheat Beer","17A",1.04,1.056,4.3,5.6,10,20,2,9,"Paulaner Krystal Paulaner Hefe-Weizen, Pschorr-Brau Weisse, Spaten Club-Weisse, Schneider Weisse, Julius Echter Weizenbier.","Wheat beer of southern Germany. Light to medium bodied, lightly hopped, yeasty, highly effervescent, and suggestive of cloves and bananas. It is, above all, a summer beer. At least 50% wheat malt. Some cloudiness is acceptable in this style since a mash of wheat can add haze from protein. Fermented as an ale by unique yeast strains. Clove and slight banana character is required. Vanilla, nutmeg, smoke and cinnamon-like phenolics are permissible. A slight bubble-gum flavor may show up in fresh examples, but this flavor diminishes quickly with time. Fruity/estery character can be low to medium. Mild sourness is OK. Bitterness is low to unnoticeable. Very low hop flavor and aroma is OK. No diacetyl. Light straw to amber. "
9,"Belgian Pale Ale","Belgian & French Ale","19A",1.04,1.055,3.9,5.6,20,35,3,14,"Celis Pale Bock, De Koninck, Special Palm Ale, Ginder Ale.","The pale ales of Belgium span a broad spectrum of characteristics. They share the general characteristics of the English pale ales, however, they are more aromatic and spicy in both malt and yeast character. These beers may be called sp?cials belges, or just belges, in the French-speaking regions of Belgium. They are golden to copper in color. These ales may include candy sugar or other aromatics. They are light to medium in body, with low to medium malt aroma, and usually have low carbonation. Fruity, spicy and soft. Slight acidity OK. No diacetyl. Low caramel or toasted malt flavor OK. Hop character is usually medium though the range can reach high bitterness. "
10,"Fruit Lambic-style Ale","Lambic & Belgian Sour Ale","20C",1.044,1.056,4.7,5.8,10,15,4,15,"Cantillon Rose de Gambrinus, Cantillon Kriek,  Cantillon Gueuze Vigneronne, Drie Fontainen Kriek, Hanssens Kriek; Boon Kriek Mariage Parfait, Framboise Marriage Parfait.","Belgium, spontaneously fermented with yeasts and bacteria. Unmalted wheat (30 to 40%) and aged hops are used.  Fruit lambics are fruit-flavored - cherries (kriek), raspberries (framboise), and peaches (peche) - before bottling. A style called Faro is sweetened with candy sugar. Brewer should specify the substyle of lambic.  Ingredients: A blend of older and younger straight lambics is used as a base.  Fruits commonly used for flavoring are cherries (Kriek) and raspberries (Framboise), although more recent commercial examples include peaches (Peche), grapes (Vigneronne or Muscat) and black currants (Cassis). "
