Name,Cat_Num,Category,OG_Low,OG_High,FG_Low,FG_High,ABV_Low,ABV_High,IBU_Low,IBU_High,Lov_Low,Lov_High,Comm_Examples,Descr
 Lite American Lager,1A,Light Lager,1.03,1.04,0.998,1.008,3.2,4.2,8,12,2,3,,
 Standard American Lager,1B,Light Lager,1.04,1.05,1.004,1.01,4.2,5.1,8,15,2,4,,
 Premium American Lager,1C,Light Lager,1.046,1.056,1.008,1.012,4.7,6,15,25,2,6,,
 Munich Helles,1D,Light Lager,1.045,1.051,1.008,1.012,4.7,5.4,16,22,3,5,,
 Dortmunder Export,1E,Light Lager,1.048,1.056,1.01,1.015,4.8,6,23,30,4,6,,
 German Pilsner (Pils),2A,Pilsner,1.044,1.05,1.008,1.013,4.4,5.2,25,45,2,5,,
 Bohemian Pilsener,2B,Pilsner,1.044,1.056,1.013,1.017,4.2,5.4,35,45,3.5,6,,
 Classic American Pilsner,2C,Pilsner,1.044,1.06,1.01,1.015,4.5,6,25,40,3,6,,
 Vienna Lager,3A,European Amber Lager,1.046,1.052,1.01,1.014,4.5,5.7,18,30,10,16,,
 Oktoberfest/Märzen,3B,European Amber Lager,1.05,1.056,1.012,1.016,4.8,5.7,20,28,7,14,,
 Dark American Lager,4A,Dark Lager,1.044,1.056,1.008,1.012,4.2,6,8,20,14,22,,
 Munich Dunkel,4B,Dark Lager,1.048,1.056,1.01,1.016,4.5,5.6,18,28,14,28,,
 Schwarzbier,4C,Dark Lager,1.046,1.052,1.01,1.016,4.4,5.4,22,32,17,30,,
 Maibock/Helles Bock,5A,Bock,1.064,1.072,1.011,1.018,6.3,7.4,23,35,6,11,,
 Traditional Bock,5B,Bock,1.064,1.072,1.013,1.019,6.3,7.2,20,27,14,22,,
 Doppelbock,5C,Bock,1.072,1.096,1.016,1.024,7,10,16,26,6,25
 Eisbock,5D,Bock,1.078,1.12,1.02,1.035,9,14,25,35,18,30
 Cream Ale,6A,Light Hybrid Beer,1.044,1.055,1.006,1.012,3.8,5.5,15,20,2.5,5
 Blonde Ale,6B,Light Hybrid Beer,1.038,1.054,1.008,1.013,4.2,5.6,15,28,3,6
 Kölsch,6C,Light Hybrid Beer,1.044,1.05,1.007,1.011,4.4,5.2,20,30,3.5,5
 American Wheat or Rye Beer,6D,Light Hybrid Beer,1.04,1.055,1.008,1.013,4,5.5,15,30,3,6
 North German Altbier,7A,Amber Hybrid Beer,1.046,1.054,1.01,1.015,4.5,5.2,25,40,13,19
 California Common Beer,7B,Amber Hybrid Beer,1.048,1.054,1.011,1.014,4.5,5.5,30,45,10,14
 Düsseldorf Altbier,7C,Amber Hybrid Beer,1.046,1.054,1.01,1.015,4.5,5.2,35,50,13,17
 Standard/Ordinary Bitter,8A,English Pale Ale,1.032,1.04,1.007,1.011,3.2,3.8,25,35,4,14
 Special/Best/Premium Bitter,8B,English Pale Ale,1.04,1.048,1.008,1.012,3.8,4.6,25,40,5,16
 Extra Special/Strong Bitter (English Pale Ale),8C,English Pale Ale,1.048,1.06,1.01,1.016,4.6,6.2,30,50,6,18
 Scottish Light 60/-,9A,Scottish And Irish Ale,1.03,1.035,1.01,1.013,2.5,3.2,10,20,9,17
 Scottish Heavy 70/-,9B,Scottish And Irish Ale,1.035,1.04,1.01,1.015,3.2,3.9,10,25,9,17
 Scottish Export 80/-,9C,Scottish And Irish Ale,1.04,1.054,1.01,1.016,3.9,5,15,30,9,17
 Irish Red Ale,9D,Scottish And Irish Ale,1.044,1.06,1.01,1.014,4,6,17,28,9,18
 Strong Scotch Ale,9E,Scottish And Irish Ale,1.07,1.013,1.018,1.03,6.5,10,17,35,14,25
 American Pale Ale,10A,American Ale,1.045,1.06,1.01,1.015,4.5,6,30,45,5,14
 American Amber Ale,10B,American Ale,1.045,1.06,1.01,1.015,4.5,6,25,40,10,17
 American Brown Ale,10C,American Ale,1.045,1.06,1.01,1.016,4.3,6.2,20,40,18,35
 Mild,11A,English Brown Ale,1.03,1.038,1.008,1.013,2.8,4.5,10,25,12,25
 Southern English Brown Ale,11B,English Brown Ale,1.035,1.042,1.011,1.014,2.8,4.2,12,20,19,35
 Northern English Brown Ale,11C,English Brown Ale,1.04,1.052,1.008,1.013,4.2,5.4,20,30,12,22
 Brown Porter,12A,Porter,1.04,1.052,1.008,1.014,4,5.4,18,35,20,30
 Robust Porter,12B,Porter,1.048,1.065,1.012,1.016,4.8,6,25,50,22,35
 Baltic Porter,12C,Porter,1.06,1.09,1.016,1.024,5.5,9.5,20,40,17,30
 Dry Stout,13A,Stout,1.036,1.05,1.007,1.011,4,5,30,45,25,40
 Sweet Stout,13B,Stout,1.042,1.056,1.01,1.023,4,6,25,40,30,40
 Oatmeal Stout,13C,Stout,1.048,1.065,1.01,1.018,4.2,5.9,25,40,22,40
 Foreign Extra Stout,13D,Stout,1.056,1.075,1.01,1.018,5.5,8,30,70,30,40
 American Stout,13E,Stout,1.05,1.075,1.01,1.022,5,7,35,75,30,40
 Imperial Stout,13F,Stout,1.075,1.095,1.018,1.03,8,12,50,90,30,40
 English IPA,14A,India Pale Ale (IPA),1.05,1.075,1.01,1.018,5,7.5,40,60,8,14
 American IPA,14B,India Pale Ale (IPA),1.056,1.075,1.01,1.018,5.5,7.5,40,60,6,15
 Imperial IPA,14C,India Pale Ale (IPA),1.075,1.09,1.012,1.02,7.5,10,60,100,8,15
 Weizen/Weissbier,15A,German Wheat And Rye Beer,1.044,1.052,1.01,1.014,4.3,5.6,8,15,2,8
 Dunkelweizen,15B,German Wheat And Rye Beer,1.044,1.056,1.01,1.014,4.3,5.6,10,18,14,23
 Weizenbock,15C,German Wheat And Rye Beer,1.064,1.08,1.015,1.022,6.5,8,15,30,12,25
 Roggenbier (German Rye Beer),15D,German Wheat And Rye Beer,1.046,1.056,1.01,1.014,4.5,6,10,20,14,19
