"Item","Name","Alpha","Cost","Stock","Units","Descr","Storage","Date"
1,"Amarillo",7,1.25,,"oz","Floral, citrusy, similar to Cascade, but with a slightly higher alpha acid content.",45,"04/02/2003"
2,"B. C. Goldings",5,1.25,0,"oz","B. C. Goldings: A classic flavor and aroma hop which many brewers reserve for their finest Bitter or Pale Ale recipes.  It also works well as a stand alone bittering hop.",25,"03/06/2003"
3,"Brewer's Gold",7.5,1.25,0,"oz","Brewer's Gold: Bittering and flavour hop used in Pete's Wicked Ale.",,""
4,"Bullion",8.5,1.25,0,"oz","Bullion is considered a classic ""Stout"" hop.  Potent and spicy, it is best suited to bittering strong & dark Ales.",,""
5,"Cascade",5.9,1.6,0,"oz","Cascade: Cascade, while a good bittering hop, is best known for its pronounced, very  distinctive ""perfumey"" aroma and flavor.  Used by many micro breweries.",50,"02/15/2003"
6,"Centennial",10.5,1.25,,"oz","Centennial: Centennial is a new, stronger and very aromatic Cascade variety.  Reserve Centennial  for bittering or use sparingly for aroma and flavor.",37,""
7,"Challenger",7.5,1.25,,"oz","Challenger: One of the few recognized all-purpose hops combining moderate amounts of alpha acid with a good kettle aroma. Popular bittering hop used primarily in the UK. British ales and lagers.",,""
8,"Chinook",12,1.25,32,"oz","Chinook: A late U.S. hybrid along the line of Northern Brewer.  Chinook combines a solid, lingering bitterness with pronounced, spicy aromatic qualities.",32,""
9,"Cluster",7,1.25,17,"oz","Cluster: Excellent general purpose hop with medium and well-balanced bittering potential and no undesirable aroma properties. Good for Dark beers.",17,""
10,"Columbus",11,1.25,,"oz","Columbus: Very pungent aroma, clean bittering properties.",,""
11,"Crystal",3.5,1.25,49,"oz","Crystal: Known as a triploid, three hops contributing characteristics: Cascade, Brewer's Gold and Early Green.  Character is mild, pleasant, slightly spicy, used primarily as an aroma/finishing or flavour hop.",49,""
12,"E. Kent Goldngs",5,1.25,45,"oz","E. Kent Goldngs: A British grown version of the classic ale finishing hop.  Slightly smoother and more refined than the herbal, Canadian grown version.",,""
13,"Eroica",13,1.25,40,"oz","Eroica: Eroica produces a very clean, solid bittering and a surprisingly pleasant flavor and aroma (when used sparingly) for an high alpha variety.",40,""
14,"Fuggles",4.5,1.25,37,"oz","Fuggles: Good all purpose ale hop. Well suited to bittering, flavoring and finishing.Will lend a pleasant hop profile, tending to be slightly fruity in aroma.",37,""
15,"Galena",11.7,1.25,5,"oz","Galena: A popular High Alpha Acid variety, Galena is a strong bittering hop which blends has a very clean flavour.  Blends well with other hops, especially nobel hops.",15,"03/24/2002"
16,"Goldings",5,1.25,,"oz","Goldings: A classic flavor and aroma hop which many brewers reserve for their finest Bitter or Pale Ale recipes.  It also works well as a stand alone bittering hop, and good for dry hopping pale ales & bitterFrom the-home-brew-shop.co.uk (Feb 2002):Alpha Acid 4.5 - 5.5% Originally grown in Kent and Surrey, the majority of Goldings are now produced in Worcestershire. The beautiful, flowery Goldings aroma is highly prized by brewers, but supplies are becoming harder to obtain due to poor y",,""
17,"Hal. Hersbruckr",3.6,1.25,,"oz","Hal. Hersbruckr: These German grown flower hops have a fine flavor & aroma. Use in your best Lagers.",40,"01/09/2002"
