"Item","Name","Yield","Lov","Cost","Stock","Units","Mash","Descr","Steep","IBU"
1,"Amber Dry Malt Extract",1.042,20,0.9,3,"kg","False","Amber Dry Malt Extract: Common dry malt extract, produces amber - copper colour.","True",
2,"Amber Malt Extract Syrup",1.034,20,0.9,0,"lb","False","Amber Malt Extract Syrup: Common liquid malt extract, produces amber - copper colour.","True",
3,"American Black Barley",1.027,530,0.2,0,"lb","True","American Black Barley: Black barley is highly roasted.  Lends coffee-like or burnt flavour and black colour to beer.  Use <3%.","True",
4,"American Black Patent",1.028,500,0.9,0,"lb","True","American Black Patent: The darkest of all malts, use sparingly to add deep color and roast-charcoal flavor.  Use no more than 1 to 3%.","True",
5,"American Chocolate",1.029,350,0.9,0,"lb","True","American Chocolate: Being the least roasted of the black malts, Chocolate malt will add a dark color and pleasant roast flavor. Small quantities lend a nutty flavor and deep, ruby red color while higher amounts lend a black color and smooth, roasted flavor.  Use 3 to 12%. ","True",
6,"American Crystal  10L",1.035,10,1.58,0,"lb","True","American Crystal  10L: 5 to 20% will lend body and mouthfeel with a minimum of color, much like Cara Pils, but with a light crystal sweetness. ","True",
7,"American Crystal  20L",1.035,20,1.58,,"lb","True","American Crystal  20L: As with all Crystal malts, the character of this malt is contributed by unfermentable crystallized sugars produced by a special process Called ""stewing"".  5 to 20% Pale Crystal will lend a balance of light caramel color, flavor, and body to Ales and Lagers","True",
8,"American Crystal  40L",1.034,40,1.58,,"lb","True","American Crystal  40L: As with all Crystal malts, the character of this malt is contributed by unfermentable crystallized sugars produced by a special process Called ""stewing"".  5 to 20% Pale Crystal will lend a balance of light caramel color, flavor, and body to Ales and Lagers","True",
9,"American Crystal  60L",1.034,60,1.58,,"lb","True","American Crystal  60L: This Crystal malt is well suited to all beer recipes calling for crystal malt and is a good choice if you're not sure which variety to use.  5 to 15% of 60 L Crystal malt will lend a well rounded caramel flavor, color and sweetness to your finest Ales. ","True",
10,"American Crystal  80L",1.034,80,1.58,,"lb","True","American Crystal  80L:  This Crystal malt is well suited to all beer recipes calling for crystal malt and is a good choice if you're not sure which variety to use.  5 to 15% of 80L Crystal malt will lend a well rounded caramel flavor, color and sweetness to your finest Ales. ","True",
11,"American Crystal 120L",1.033,120,1.58,,"lb","True","American Crystal 120L: 5 to 15% will lend a complex bitter/sweet caramel flavor and aroma to beers. Used in smaller quantities this malt will add color and slight sweetness to beers, while heavier concentrations are well suited to strong beers such as Barley Wines and Old Ales.","True",
12,"American Crystal 30L",1.035,30,1.58,,"lb","True","American Crystal 30L: As with all Crystal malts, the character of this malt is contributed by unfermentable crystallized sugars produced by a special process Called ""stewing"".  5 to 20% Pale Crystal will lend a balance of light caramel color, flavor, and body to Ales and Lagers","True",
13,"American Crystal 90L",1.033,90,1.58,,"lb","True","American Crystal 90L: This Crystal malt is well suited to all beer recipes calling for crystal malt and is a good choice if you're not sure which variety to use.  5 to 15% of 90L Crystal malt will lend a well rounded caramel flavor, color and sweetness to your finest Ales. ","True",
14,"American Munich (Dark)",1.033,20,1.8,,"lb","True","American Munich (Dark): A little darker than German Munich malt, use Domestic Munich to add a deeper color and fuller malt profile.  An excellent choice for Dark and amber lagers, blend Munich with German Pils or Klages at the rate of 10 to 60% of the total grist. ","False",
15,"American Munich (Light)",1.033,10,1.8,,"kg","True","American Munich (Light): A little darker than German Munich malt, use Domestic Munich to add a deeper color and fuller malt profile.  An excellent choice for Dark and amber lagers, blend Munich with German Pils or Klages at the rate of 10 to 60% of the total grist. ","False",
16,"American Roasted Barley",1.028,450,0.9,,"lb","True","American Roasted Barley: Use 10 to 12% to impart a distinct, roasted flavor to Stouts.  Other dark beers also benefit from smaller quantities (2 - 6%). ","True",
17,"American Six-Row",1.035,1.8,0.9,,"lb","True","American Six-Row: Standard lager malt used in the US.  Higher protein content in general than two-row, but higher diastatic power as well.","False",
18,"American Soft White Wheat",1.04,2.8,0.9,,"lb","True","American Soft White Wheat: Use to increase head stand, add wheat flavour to beer.","False",
19,"American Special Roast",1.033,40,0.9,,"lb","True","American Special Roast: Pale roasted to lend an unmistakable, toasted malt flavor and aroma and amber, red-orange color to beer. At the rate of 3 to 10% Special Roast is an excellent addition to your Vienna, Marzen and Alt beers or in recipes calling for Amber malt","False",
20,"American Two-Row",1.037,1.8,0.9,,"lb","True","American Two-Row: The basic malt for brewing all grain beers from scratch.  High in diastatic power, well modified and fairly neutral, Klages make an excellent base malt. Best for both American Lager and Ale styles, Klages lends itself well to all beer styles.","False",
21,"American Two-Row Toasted",1.033,30,0.9,,"lb","True","American Two-Row Toasted:  Toast two row in the oven at 350F for 20 mintues to add a toasty / roasted flavour to your beer.","False",
22,"American Victory",1.034,25,0.9,,"lb","True","American Victory: A unique, lightly roasted malt that provides a warm ""biscuity"" character to Ales and Lagers.  Use 5 to 15% to add a fuller flavor and aroma to Ales, Porters and Full flavored, dark Lagers where a bigger malt character is desired without crystal malt sweetness. ","False",
23,"American Vienna",1.035,4,0.9,,"lb","True","American Vienna: Vienna malt is kiln dried at a higher temperature than pale malt yet still retains sufficient enzyme power for use as 60 to 100% of total mash grist. Vienna is a rich, aromatic malt that will lend a deep color and full flavor to your finest Vienna or Marzen beers.","False",
24,"American Wheat",1.039,1.7,0.9,,"lb","True","American Wheat: Use to make wheat beers. Also, a small amount (3-6%) will help head retention in any beer without altering  flavor. Has some diastatic power, can convert itself.  If you are using adjuncts, add an equal weight of 6-row.  If using more than 70% total grist, add rice hulls.","False",
25,"Basmati Rice",1.038,0.5,1,,"lb","True","Adds very little colour, body or character to beer, appropriate for light lagers and cream ales.  Use up to 20% of mash.  Brown rice needs a longer cereal mash than white or flaked rice.  Boil w/ 10% malt for at least 45 minutes to fully gelatinize the rice.","False",
26,"Belgian Aromatic",1.03,25,0.9,,"lb","True","Belgian Aromatic: Used at rates of up to 10%, Aromatic malt will lend a distinct, almost exaggerated malt aroma and flavor to your finished Ales and Lagers.  Aromatic malt also has a rich color and is high in diastatic power for aid in starch conversion. ","False",
27,"Belgian Biscuit",1.03,22.5,0.9,,"lb","True","Belgian Biscuit: Biscuit is a unique malt in that it  lightly roasted, lending the subtle properties of black and chocolate malts.  Used at the rate of 3 to 15%, it is designed to improve the ""bread  & biscuits"", or toasted flavor and aroma characteristics to Lagers and Ales","False",
28,"Belgian Black",1.03,600,0.9,,"lb","True","Belgian Black: similar to black barley, a highly roasted dark malt that adds colour and roasted flavour to Belgian beers.","True",
29,"Belgian Candi Sugar Amber",1.045,75,0,,"lb","False","Used to increase alcohol and lighten body. Commonly used in Abbey Ales and other Belgian ales","True",
30,"Belgian Candi Sugar Dark",1.045,275,0,,"lb","False","Used to increase alcohol and lighten body. Commonly used in Abbey Ales and other Belgian ales.","True",
31,"Belgian CaraMunich",1.033,75,0.9,,"lb","True","Belgian CaraMunich: Use CaraMunich for a deeper color in Ales and Lagers, and in small amounts in Lagers.  5 to 15% will also lend a fuller flavor, contribute to foam stability, add unfermentable, caramelized sugars and contribute a rich malt aroma.","False",
32,"Belgian Carapils",1.03,7.9,0.9,,"lb","True","Belgian Carapils: Dextrins lend body, mouthfeel and palate fullness to beers, as well as foam stability.  Cara Pils must be mashed with pale malt, due to its lack of enzymes. Use 5 to 20% for these properties without adding color or having to mash at higher temperatures.","False",
33,"Belgian Caravienne",1.03,21.6,3.5,0,"kg","True","Belgian Caravienne: As with normal Crystal malts, CaraVienne is non-enzymatic.  It does, however, impart a rich, caramel-sweet aroma to the wort and promotes a fuller flavored beer at rates of 5 to 20% of grist total.  Excellent in most Belgian styles.","False",
34,"Belgian Carmel Pils",1.034,7.9,0.9,,"lb","True","Belgian Carmel Pils","False",
35,"Belgian Chocolate",1.029,497.5,0.9,,"lb","True","Belgian Chocolate: Mmmm... chocolate!  Adds colour and roasty / toasty flavours.  Use in porters, stouts, and small amounts (under 5%) to colour dark Belgian and other styles.","True",
36,"Belgian Munich",1.032,7.8,1.8,,"lb","True","Belgian Munich","False",
37,"Belgian Pale Ale",1.036,1.8,0.9,,"lb","True","Belgian Pale Ale: the base malt to use for Belgian-style ales.  Similar to British two rows.","False",
38,"Belgian Pils",1.035,1.8,0.9,,"lb","True","Belgian Pils: A lower protein two row, usually moravian. This is a good base malt for many styles, including European Lagers, Belgian Ales and Wheat beers.  Benefits from a short protein rest and decoction mash schedule, although modern moravian malts can mashed with a single step infusion.","False",
39,"Belgian Roasted Barley",1.03,575,0.9,,"lb","True","Belgian Roasted Barley","True",
40,"Belgian Special B",1.029,221,0.9,,"lb","True","Belgian Special B: Special-B is a unique malt in that it provides an intense roasted caramel character to beers. Use small amounts to add depth and complexity to dark ales and lagers or more for an intense malt flavor and aroma.","False",
41,"Belgian Two-Row",1.037,3,0.9,,"lb","True","Belgian Two-Row: darker than Belgian pale ale, this is a good base malt for the richer, heavier Belgian styles.","False",
42,"Belgian Wheat",1.038,1.8,0.9,,"lb","True","Belgian Wheat","False",
43,"Black Patent",1.029,500,0.9,,"lb","True","Black Patent: The darkest of all malts, use sparingly to add deep color and roasty / burnt flavor.  Use no more than 1 to 3%, unless you like sucking charcoal.","True",
44,"British Amber",1.03,35,0.9,,"lb","True","British Amber","False",
45,"British Black Patent",1.027,525,0.9,,"lb","True","British Black Patent","True",
46,"British Brown",1.032,70,0.64,30,"lb","True","British Brown","False",
47,"British Cara-Malt",1.035,10,0.9,,"lb","True","British Cara-Malt","False",
48,"British Carastan",1.035,34,0.9,,"lb","True","British Carastan: Also known as CaraStan, use 5 to 20% of English Crystal to add color and a full, toffee/sweet flavor to Bitters, Pale Ales and Porters.","False",
49,"British Chocolate",1.034,475,0.9,,"lb","True","British Chocolate: British Chocolate malt is ideal for British Porters and Brown or Mild Ales and even Stouts.  It's a little darker than our domestic Chocolate malt yet it has a slightly smoother character in the roast flavor and aroma profiles.  ","True",
50,"British Crystal 135-165L",1.033,150,1.58,,"lb","True","British Crystal 135-165L","True",
51,"British Crystal 50-60L",1.034,55,1.58,,"lb","True","British Crystal 50-60L","True",
52,"British Crystal 70-80L",1.034,75,0.62,10,"lb","True","British Crystal 70-80L","True",
53,"British Crystal 95-115L",1.033,105,1.58,,"lb","True","British Crystal 95-115L: Will lend a deep amber to red color and a full bodied, toasted/caramel like flavor to your Scottish and European ales. ","True",
54,"British Lager Two-Row",1.038,1.4,0.9,,"lb","True","British Lager Two-Row","False",
55,"British Light Carastan",1.035,15,0.9,,"lb","True","British Light Carastan: a lighter version of carastan, a form of crystal malt.  Adds a slightly sweet caramel / toffee flavour to bitters and pale ales.","False",
56,"British Mild",1.037,4,0.9,,"lb","True","British Mild: a rare malt, use as a base malt for rich malt flavour in low gravity milds and bitters.","False",
57,"British Munich",1.037,6,1.8,,"lb","True","British Munich","False",
58,"British Pale Chocolate",1.034,200,0,,"lb","False","British Pale Chocolate: an excellent lightly roasted dark malt that adds colour but not a lot of roast flavour to brown ales, milds, and porters.  Very pleasing chocolate aroma and flavour.","True",
59,"British Peated",1.038,5,0.9,,"lb","True","British Peated: a smoked malt used in small amounts in Porters and Scotch ales.","True",
60,"British Pilsener",1.036,1.8,0.9,,"lb","True","British Pilsener - a six row undermodified malt for brewing pilsners and other lagers.","False",
61,"British Roasted Barley",1.029,575,0.9,,"lb","True","British Roasted Barley - use 1 to 3% to add colour and rich roast flavour in stouts and porters.","True",
62,"British Two-Row",1.038,2.5,0.47,124,"lb","True","British Two-Row: Fully modified British malt, easily converted by a single temperature mash.  Preferred by many brewers for full flavored ales.  Pale Ale malt has undergone higher kilning than Klages and is lower in diastatic power so keep adjuncts to 15% or less. ","False",
63,"Brown Sugar",1.045,2,0.9,,"lb","False","Brown Sugar: used in authentic British bitters.  Can lend a buttery, molases flavour when used in small amounts.","True",
64,"Canadian Honey",1.03,25,0.9,,"lb","True","Canadian Honey: made by Gambrinus.  Malt sweetness and honey like flavour and aroma make it perfect for any specialty beer. The closest comparison is a light caramel, but Honey Malt has a flavour of its own: sweet and a little bit nutty. Made by restricting the oxygen flow during the sprouting process, Honey Malt is essentially self-stewed. When the oxygen is cut off, the grain bed heats up, developing sugars and rich malt flavours. The malt is lightly kilned for a color color profile of 25 SRM and is devoid of astringent roast flavors. Honey malt has a diastatic power of 50, and needs to be mashed with a base malt. Use up to 15% in specialty beers for a unique flavour. ","False",
65,"Canadian Munich (Dark)",1.034,30,0.52,28,"lb","True","Canadian Munich (Dark)","False",
66,"Canadian Munich (Light)",1.034,15,1.8,,"lb","True","Canadian Munich (Light)","False",
67,"Canadian Two-Row",1.036,2.1,0.39,14,"lb","True","Canadian Two-Row: The basic malt for brewing all grain beers from scratch.  High in diastatic power, well modified and fairly neutral, Klages make an excellent base malt. Best for both American Lager and Ale styles, Klages lends itself well to all beer styles.","False",
68,"Candy sugar",1.045,1,1,,"lb","False","This sugar is commonly used in Belgium beers. It comes in several colors - light to dark. When added to beer, it thins out the high gravity beers and contributes color and, for the dark version, some residual caramel flavors. Candy sugar is sucrose. Its production is the same as for rock candy (i.e., slow crystallization of a concentrated sugar solution) made from straight sucrose so a brewer should be able to substitute regular sugar for it. Dark candy sugar has been carmelized before it is crystalized.","True",
69,"Cara-Pils Dextrine",1.033,1.8,0.9,,"lb","True","Cara-Pils Dextrine: Dextrins lend body, mouthfeel and palate fullness to beers, as well as foam stability.  Cara Pils must be mashed with pale malt, due to its lack of enzymes. Use 5 to 20% for these properties without adding color or having to mash at higher temperatures.","False",
70,"Caramel",1.033,5,0.1,,"lb","False","Caramel is simple to make: heat standard table sugar until it melts.  Add directly to the kettle, or to the secondary to get more caramel flavour.","True",
71,"Chocolate",1.029,350,0.9,,"lb","True","Chocolate: Being the least roasted of the black malts, Chocolate malt will add a dark color and pleasant roast flavor. Small quantities lend a nutty flavor and deep, ruby red color while higher amounts lend a black color and smooth, roasted flavor.  Use 3 to 12%. ","True",
72,"Corn",1.039,0.5,0.9,,"lb","True","Corn: can add a sweet, corn flavour to beer without additional colour.  Used especially in Classic American (Pre-Prohibition) Pilsners, up to 30%.   Corn meal and grits (including polenta) needs to be gelatinzed with a cereal mash before being added to the main mash.","False",
73,"Corn (Flaked)",1.04,0.5,0.9,,"lb","True","Corn (Flaked): can add a sweet, corn flavour to beer without additional colour.  Used especially in Classic American (Pre-Prohibition) Pilsners, up to 30%.  Flaked corn is pre-gelatanized and can be added directly to the mash.  ","False",
74,"Corn Sugar",1.046,0,0.9,,"lb","False","Corn Sugar: not recommended for anything other than priming bottles or (in some cases) boosting high-gravity beers.  Over 10% can lend a watery, cidery taste to beer.","True",
75,"Corn syrup",1.045,1,0.3,,"lb","False","Basically glucose with water. May have maltose. Beware about buying the typical grocery store version because it _might_  have some vanillin/vanilla as a flavoring. Additionally, some brands have a preservative that could affect fermentation. Dark corn syrup is just the regular syrup with some coloring. Use wherever you would use straight glucose/dextrose such as priming. ","True",
76,"Crystal 10",1.031,10,1.58,,"lb","True","Crystal 10: 5 to 20% will lend body and mouthfeel with a minimum of color, much like Cara Pils, but with a light crystal sweetness. ","True",
77,"Crystal 100",1.029,100,1.58,,"lb","True","Crystal 100 - a dark version of crystal, will lend crystal sweetness, body, and colour to a beer when used 10-20%.","True",
78,"Crystal 120",1.029,120,1.58,,"lb","True","Crystal 120: 5 to 15% will lend a complex bitter/sweet caramel flavor and aroma to beers. Used in smaller quantities this malt will add color and slight sweetness to beers, while heavier concentrations are well suited to strong beers such as Barley Wines and Old Ales.","True",
79,"Crystal 135",1.029,135,1.58,,"lb","True","Crystal 135 - super dark version of crystal.  Lends a crystal / caramel sweetness and aroma with some toasty / burnt notes, to beer; also produces a deep red / ruby colour.","True",
80,"Crystal 20",1.031,20,1.58,,"lb","True","Crystal 20: As with all Crystal malts, the character of this malt is contributed by unfermentable crystallized sugars produced by a special process Called ""stewing"".  5 to 20% Pale Crystal will lend a balance of light caramel color, flavor, and body to Ales and Lagers","True",
81,"Crystal 40",1.03,40,1.58,,"lb","True","Crystal 40: As with all Crystal malts, the character of this malt is contributed by unfermentable crystallized sugars produced by a special process Called ""stewing"".  5 to 20% Pale Crystal will lend a balance of light caramel color, flavor, and body to Ales and Lagers","",
82,"Crystal 55",1.03,55,1.58,,"lb","True","Crystal 55","True",
83,"Crystal 60",1.03,60,1.58,,"lb","True","Crystal 60: This Crystal malt is well suited to all beer recipes calling for crystal malt and is a good choice if you're not sure which variety to use.  5 to 15% of 60 L Crystal malt will lend a well rounded caramel flavor, color and sweetness to your finest Ales. ","True",
84,"Crystal 80",1.029,80,1.58,,"lb","True","Crystal 80","True",
85,"DME, Extra Light",1.042,3,0,,"lb","False","","True",
86,"Dark Dry Malt Extract",1.042,80,0.9,,"lb","False","Dark Dry Malt Extract - a darker version of dry malt extract, a good base for extract or partial mash beers when you need some colour.","True",
87,"Dark Malt Extract Syrup",1.034,80,0.9,,"lb","False","Dark Malt Syrup Extract","True",
88,"Demerara / turbinado",1.043,2,0.25,,"lb","False","This is crystalizable sugar from the first step of refinement. It has a tan to brown color from the residual impurities. Some food faddists attribute beneficial results from using this but unless a lot is consumed, the potential benefits are very low. Demerara is the UK term; turbinado the US (and Spanish language?) term. Demerara is usually a dark brown shade while turbinado is lighter, more of a tan or taupe color. It is ~98% sugar with some residual proteins and unfermentable carbohydrates present. ","True",
89,"Dextrine Malt",1.031,1.5,0.9,,"lb","True","Dextrine Malt - used to add body and mouthfeel to beers without adding flavour.","False",
90,"Dextrine Powder",1.045,0,0.9,,"lb","False","Dextrine Powder - adds body and mouthfeel to beer without contributing to flavour.","True",
91,"Barley (flaked)]",1.032,2.2,0.9,,"lb","False","Flaked Barley - adds body, mouthfeel, and heading to ales, especially in stouts.","True",
92,"Fructose",1.046,0,0.1,,"lb","False","In all-malt beers, this normally sugar should make up only few percent of the wort. Yeasts will rapidly ferment fructose but there might be some problems (I can't recall but I seem to remember that Dave Miller's book describes the problem as a ""spill over effect"" that causes some off-flavors due to the production of different fermentation products.) Fructose tastes much sweeter than glucose or even the combination of fructose + glucose (= sucrose). That's why big food  processing companies use ""high fuctose"" sugars because they get more bang for the buck by using less of a sweeter tasting sugar. On the other hand, to continue the digression, lots of hard-core CocaCola drinkers like the less sweet sugars since it requires more which makes a thicker, more viscous soft drink.. ","True",
93,"German Acid Malt",1.034,2,0,,"lb","True","Lowers the pH level of the wort, resulting in intensified fermentation and lightened Pils-like beer color for improved flavor stability and rounded flavor in Pilsener-style light beers, ales, and pale ales. Typically 3-5% is used to change pH of mash, 6-9% to improve flavour profiles (alkaline water takes more than soft water). 5% is recommended by Narziss for improving wheat beer ) .","False",
94,"German Carafa",1.03,300,1.75,2,"lb","True","German Carafa light - a very nice version of chocolate malt.","True",
95,"German Carafa Chocolate",1.03,525,0.9,,"lb","True","German Carafa Chocolate - very smooth version of chocolate malt.","True",
96,"German Carafa Special",1.03,600,0.9,,"lb","True","German Carafa Special - the darkest of the carafa dark malts, adds a roasty flavour and intense colour to beer.","True",
97,"German Carahell",1.034,12,0.9,,"lb","True","German Carahell","False",
98,"German Dark Caramel",1.037,65,0.9,,"lb","True","German Dark Caramel: Use 3 to 20% of German Caramel malt to add color, sweetness and body to European lagers, Viennas and Marzen/Oktoberfest lagers. ","False",
99,"German Dark Wheat",1.039,8,0.9,,"lb","True","German Dark Wheat: German Wheat malt is the perfect ingredient for Weiss, Weizen and Berliner Weiss beers.  Blended in proportions of 20 to 70% with our pale malts, weizen malt is the perfect companion for German wheat yeast strains for a full flavored, classic wheat beer. ","False",
100,"German Light Caramel",1.037,2.5,0.9,,"lb","True","German Light Caramel","True",
101,"German Munich",1.037,8,1.8,,"lb","True","German Munich: A true Munich variety that has undergone higher kilning than the pale malt. German Munich still retains sufficient enzymes for 100% of the grist, or it can be used at the rate of 20 to 75% of the total malt content in Lagers for its full, malty flavor and aroma.","False",
102,"German Pilsener",1.038,1.6,0.9,,"lb","True","German Pilsener - usually a moravian malt, very light in colour, perfect for decoction mashes and as a base for lighter lagers.","False",
103,"German Roasted Wheat",1.03,650,0.9,,"lb","True","German Roasted Wheat","True",
104,"German Smoked (Bamberg)",1.037,9,0.9,,"lb","True","Gernam Smoked (Bamberg):  Used to produce authentic Rauchbiers.","True",
105,"German Vienna",1.037,3,0.9,,"lb","True","German Vienna is high in diastatic power, meaning you can use it as 100% of the total grist for a fuller, deeper malt flavor and aroma.","False",
106,"German Wheat",1.039,1.8,0.9,,"lb","True","German Wheat malt is the perfect ingredient for Weiss, Weizen and Berliner Weiss beers.  Blended in proportions of 20 to 70% with our pale malts, weizen malt is the perfect companion for German wheat yeast strains for a full flavored, classic wheat beer. ","False",
107,"German Wheat Caramel",1.038,55,0.9,,"lb","True","German Wheat Caramel","False",
